State,County,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Alabama,Baldwin,48,45,3,0,0,0,0,58,49,36,0,0,27,0,21,0
Alabama,Clay,27,20,7,0,0,0,0,66,60,36,0,0,0,0,27,0
Alabama,Colbert,51,47,4,0,0,0,0,63,46,41,0,0,28,0,23,0
Alabama,DeKalb,68,64,4,0,0,0,0,57,45,36,0,0,50,0,18,0
Alabama,Elmore,14,14,0,0,0,0,0,47,47,41,0,0,14,0,0,0
Alabama,Etowah,87,54,33,0,0,0,0,90,62,47,0,0,7,0,80,0
Alabama,Houston,49,44,4,1,0,0,0,131,51,38,0,0,27,0,22,0
Alabama,Jefferson,120,49,67,4,0,0,0,116,79,54,0,2,28,30,60,0
Alabama,Madison,45,44,1,0,0,0,0,65,43,10,0,0,0,0,18,27
Alabama,Mobile,90,71,17,2,0,0,0,139,53,40,0,0,18,2,70,0
Alabama,Montgomery,87,56,30,1,0,0,0,128,67,43,0,0,14,0,73,0
Alabama,Morgan,90,84,6,0,0,0,0,59,48,34,0,0,26,0,64,0
Alabama,Russell,43,34,9,0,0,0,0,86,63,43,0,0,23,0,20,0
Alabama,Shelby,82,79,3,0,0,0,0,60,43,1,0,0,25,57,0,0
Alabama,Sumter,79,70,9,0,0,0,0,66,51,39,0,0,19,0,60,0
Alabama,Talladega,29,21,8,0,0,0,0,70,58,36,0,0,0,0,29,0
Alabama,Tuscaloosa,80,61,18,1,0,0,0,123,56,42,0,0,20,0,60,0
Alaska,Anchorage ,102,89,13,0,0,0,0,67,52,17,0,0,0,0,0,102
Alaska,Denali ,87,87,0,0,0,0,0,46,42,39,0,0,87,0,0,0
Alaska,Matanuska-Susitna ,89,85,4,0,0,0,0,80,45,15,0,0,0,0,80,9
Arizona,Apache,95,95,0,0,0,0,0,49,17,10,0,0,0,0,10,85
Arizona,Cochise,90,80,10,0,0,0,0,67,52,44,0,0,80,0,2,8
Arizona,Coconino,90,87,3,0,0,0,0,54,48,43,0,0,90,0,0,0
Arizona,Gila,90,19,28,36,7,0,0,200,139,100,0,0,15,73,0,2
Arizona,La Paz,90,88,2,0,0,0,0,64,46,39,0,0,77,0,13,0
Arizona,Maricopa,90,46,43,1,0,0,0,103,67,50,0,12,40,0,33,5
Arizona,Mohave,77,76,1,0,0,0,0,86,26,9,0,0,0,0,0,77
Arizona,Navajo,90,90,0,0,0,0,0,50,47,39,0,0,78,0,0,12
Arizona,Pima,90,62,27,1,0,0,0,101,62,45,0,0,52,0,3,35
Arizona,Pinal,90,79,11,0,0,0,0,61,51,41,0,0,90,0,0,0
Arizona,Santa Cruz,90,62,28,0,0,0,0,92,63,38,0,0,0,0,49,41
Arizona,Yavapai,89,76,13,0,0,0,0,74,54,45,0,0,89,0,0,0
Arizona,Yuma,90,68,21,0,0,1,0,235,55,44,0,0,49,0,14,27
Arkansas,Arkansas,27,26,1,0,0,0,0,51,41,28,0,0,0,0,27,0
Arkansas,Ashley,29,29,0,0,0,0,0,49,47,28,0,0,0,0,29,0
Arkansas,Clark,58,57,1,0,0,0,0,58,41,31,0,0,58,0,0,0
Arkansas,Crittenden,90,88,2,0,0,0,0,58,44,36,0,8,71,0,11,0
Arkansas,Garland,30,27,3,0,0,0,0,60,51,34,0,0,0,0,30,0
Arkansas,Jackson,30,28,2,0,0,0,0,58,49,29,0,0,0,0,30,0
Arkansas,Newton,90,88,2,0,0,0,0,54,46,37,0,0,90,0,0,0
